,outcome
depth,-0.4110732404240694
b3,0.22540683891044638
b1,0.17371887467952749
a1,0.14910114027190122
a4,0.12244061556504376
table,0.11497734642429557
z,-0.03146963723188468
x,0.020354404789585945
price,0.01696703930763701
y,0.015923609311013096
a7,0.012512249800878051
b5,0.012369992567594097
b10,-0.012035943769594163
b7,-0.009241117035529427
a2,0.00876004649604914
a8,0.007983097545787105
b9,-0.00732409431952795
a6,0.00723810376949033
a9,0.005360776093302383
b4,-0.0038446387035511558
a3,0.0031260154421678577
b8,-0.0026446252649667914
carat,0.0025377314452212593
a10,0.002492312041196515
b2,0.001640287058028496
a5,0.0006902224349806949
b6,7.921923501112348e-05
